Category,Subcategory,Organization,Name,License,value
App Definition and Development,Application Definition & Image Build,Apache Software Foundation ,ServiceComb,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Chef Software ,Chef Habitat,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Cloud Foundry Foundation ,Open Service Broker API,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Cloud Native Computing Foundation (CNCF) ,Buildpacks,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Cloud Native Computing Foundation (CNCF) ,Helm,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Cloud Native Computing Foundation (CNCF) ,KubeVirt,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Cloud Native Computing Foundation (CNCF) ,Telepresence,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,D2iQ ,KUDO,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,DeployHub ,DeployHub,NotOpenSource,1
App Definition and Development,Application Definition & Image Build,DevSpace ,DevSpace,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Docker ,Docker Compose,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Google ,kaniko,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Google ,Skaffold,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,HashiCorp ,Packer,Mozilla Public License 2.0,1
App Definition and Development,Application Definition & Image Build,Mirantis ,Mirantis Virtlet,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Okteto ,Okteto,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,On-Prem ,On-Prem,NotOpenSource,1
App Definition and Development,Application Definition & Image Build,Open API Initiative ,OpenAPI,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Red Hat ,Operator Framework,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Red Hat ,Podman,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Replicated ,Ship,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Solo.io ,Squash,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,VMware ,Bitnami Stacksmith,NotOpenSource,1
App Definition and Development,Application Definition & Image Build,VMware ,Octant,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Windmill Engineering ,Tilt,Apache License 2.0,1
App Definition and Development,Continuous Integration & Delivery,Amazon Web Services ,AWS CodePipeline,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Appveyor Systems ,Appveyor,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Atlassian ,Bamboo,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Buildkite ,Buildkite,MIT License,1
App Definition and Development,Continuous Integration & Delivery,CircleCI ,CircleCI,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Cloud 66 ,Cloud 66 Skycap,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Cloud Native Computing Foundation (CNCF) ,Brigade,Apache License 2.0,1
